Purchase Price,NEW OP,Item Name/Number
2.45,3.038,Align IWI06
3.2,3.968,Align IWC09
4.25,5.27,Align P305
4.3,5.332,Align IWI07
5.25,6.51,Align IWI11
5.3,6.572,Align IWC06
5.75,7.13,Align IWI20
6.15,7.626,Align IWI28
6.75,8.37,Align IWC26
7.6,9.424,Align IWC20
8.7,10.788,Align IWC18
9.3,11.532,Align IWI21
9.5,11.78,P309
9.75,12.09,Align IWC05
10.45,12.958,Align P310
13,16.12,Align IWI19
15.55,19.282,Align P311
19,23.56,Align IWC19
22.4,27.776,Align S205
22.55,27.962,Align IWC04
25.45,31.558,Align IWC07
31,38.44,Align S906
39.55,49.042,Align IWC03
45.4,56.296,Align IWC19OM
51,63.24,SB1025
61,75.64,SB1050
64.25,79.67,Align IWC24
82,101.68,SB1100
91.55,113.522,Align IWC22
118.1,146.444,Align IWC23